"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 19:36:14 UTC 2024","Tue Jan 09 19:36:14 UTC 2024","19","","org.example.MainTest","","org.example.MainTest","test","test()",""
"passed","Tue Jan 09 19:36:14 UTC 2024","Tue Jan 09 19:36:14 UTC 2024","3","","org.example.MainTest","","org.example.MainTest","test2","test2()",""
