"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 19:44:44 UTC 2024","Tue Jan 09 19:44:44 UTC 2024","22","","org.example.MainTest","","org.example.MainTest","test","test()",""
"passed","Tue Jan 09 19:44:44 UTC 2024","Tue Jan 09 19:44:44 UTC 2024","4","","org.example.MainTest","","org.example.MainTest","test2","test2()",""
